popularity
71
53
20
23
4
7
10
50
38
43
5
84
53
13
32
42
47
15
80
38
4
72
12
82
20
49
42
15
19
22
22
87
19
57
74
57
49
39
46
48
15
42
13
72
14
70
70
17
43
6
62
54
34
18
63
48
7
56
37
35
34
44
76
48
48
58
19
27
17
71
57
4
18
38
44
70
28
60
18
34
84
17
62
42
4
46
53
17
48
77
38
44
39
53
36
70
43
37
61
62
72
4
4
80
7
20
56
48
54
16
40
66
21
46
51
71
64
83
63
44
33
86
19
47
66
13
5
74
85
73
44
41
25
29
72
46
71
34
43
21
74
44
18
19
37
55
76
73
41
25
14
24
20
22
19
4
20
12
24
78
73
20
18
17
61
39
56
54
47
18
40
30
49
18
47
4
16
65
35
55
19
56
86
41
64
26
39
22
73
63
25
79
94
22
36
43
71
27
55
18
35
75
49
14
21
36
10
57
58
74
79
64
66
71
59
72
6
15
40
74
49
39
66
78
30
4
23
26
79
30
42
11
67
63
83
70
7
50
42
82
26
57
64
50
51
74
69
22
3
75
34
36
14
15
38
72
61
28
1
20
19
11
29
59
78
54
64
20
34
25
82
19
31
19
33
23
8
18
1
22
16
54
43
77
69
54
68
72
69
22
51
17
74
67
33
39
53
39
34
21
13
21
54
14
27
0
34
25
15
1
15
37
9
3
10
51
24
21
20
53
33
11
19
72
0
29
24
13
77
13
66
21
16
40
17
37
60
25
24
52
0
0
0
44
38
23
72
27
22
37
75
35
22
65
0
12
35
57
1
54
8
2
12
19
27
37
50
15
69
40
16
1
34
30
32
46
1
43
57
34
44
18
32
0
14
63
27
53
52
26
71
54
80
70
36
26
55
27
37
32
36
19
38
11
17
12
14
53
19
20
0
22
38
21
16
26
47
16
37
0
74
53
1
55
54
14
63
1
53
27
12
18
40
55
56
56
57
66
10
9
37
58
54
32
0
66
18
58
17
28
28
30
38
10
37
13
74
47
27
24
87
55
2
30
46
38
79
69
36
55
53
1
72
23
67
42
55
39
19
54
29
81
53
62
15
72
25
15
66
60
59
0
46
54
79
50
59
2
34
20
34
30
18
26
56
49
69
85
17
2
51
60
57
33
68
37
27
19
27
22
20
24
59
47
2
54
39
15
53
14
62
39
9
35
53
44
51
21
10
26
17
14
46
66
70
52
53
84
42
45
